Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
25,39,67,Loamy,Cotton,38,1,46,MOP
27,63,20,Sandy,Rice,9,8,27,Urea
28,65,63,Loamy,Ground Nuts,47,1,1,DAP
24,35,49,Red,Sugarcane,22,36,29,20-20
20,72,65,Red,Cotton,25,19,37,20-20
38,75,38,Loamy,Wheat,22,16,4,DAP
29,45,73,Red,Cotton,28,24,5,DAP
31,88,38,Black,Wheat,7,18,4,Urea
34,82,28,Loamy,Cotton,18,41,11,20-20
28,48,26,Black,Rice,28,7,3,DAP
39,63,65,Loamy,Wheat,42,10,23,28-28
36,54,56,Loamy,Sugarcane,5,12,24,Urea
36,60,69,Black,Cotton,28,12,25,20-20
39,78,60,Loamy,Cotton,23,8,45,MOP
31,70,72,Red,Rice,9,4,45,Urea
26,46,26,Black,Wheat,13,17,42,20-20
21,76,28,Loamy,Ground Nuts,5,39,32,Urea
22,59,23,Red,Rice,3,13,20,Urea
36,68,44,Black,Wheat,14,33,22,20-20
24,83,68,Black,Cotton,36,21,36,28-28
36,84,31,Red,Cotton,47,47,36,28-28
36,60,25,Loamy,Cotton,38,32,11,20-20
36,48,37,Loamy,Cotton,27,23,36,20-20
21,64,59,Black,Maize,1,28,20,Urea
21,58,40,Sandy,Cotton,12,12,12,20-20
24,88,34,Loamy,Cotton,1,49,42,Urea
20,30,22,Loamy,Ground Nuts,40,26,32,28-28
20,33,21,Red,Ground Nuts,31,0,43,MOP
38,57,75,Sandy,Wheat,4,6,5,Urea
21,47,74,Sandy,Cotton,2,3,42,Urea
31,55,60,Black,Cotton,1,9,11,Urea
25,69,59,Red,Wheat,13,39,37,20-20
23,48,78,Red,Cotton,39,34,29,28-28
30,84,23,Loamy,Cotton,43,38,36,28-28
36,84,51,Black,Rice,48,15,17,20-20
25,89,21,Loamy,Maize,28,26,15,20-20
24,86,65,Sandy,Wheat,47,19,44,28-28
39,35,48,Red,Rice,37,9,6,DAP
21,30,21,Black,Ground Nuts,5,44,45,Urea
25,37,53,Loamy,Sugarcane,49,32,0,DAP
30,62,46,Loamy,Sugarcane,33,6,27,MOP
35,80,79,Sandy,Ground Nuts,7,41,43,Urea
35,72,73,Red,Maize,45,43,2,DAP
20,50,58,Sandy,Sugarcane,1,45,49,Urea
28,53,63,Loamy,Maize,25,21,42,20-20
25,54,57,Red,Sugarcane,16,42,38,20-20
35,76,37,Red,Sugarcane,23,16,9,DAP
22,84,55,Sandy,Rice,30,8,44,MOP
39,86,38,Red,Sugarcane,15,39,13,20-20
23,72,46,Sandy,Ground Nuts,49,9,14,MOP
38,48,64,Red,Maize,20,35,5,DAP
22,58,39,Red,Cotton,37,30,38,28-28
38,82,40,Black,Cotton,25,30,44,20-20
39,39,42,Red,Cotton,16,4,15,MOP
26,85,49,Loamy,Maize,49,17,46,28-28
39,41,44,Black,Maize,45,5,17,MOP
28,62,50,Sandy,Cotton,41,41,34,28-28
20,85,46,Loamy,Ground Nuts,3,49,47,Urea
27,36,53,Sandy,Sugarcane,49,27,24,28-28
26,46,27,Sandy,Cotton,42,42,32,28-28
37,87,38,Loamy,Wheat,47,23,32,28-28
27,89,60,Sandy,Maize,3,4,18,Urea
20,39,45,Black,Wheat,18,27,37,20-20
30,60,47,Loamy,Wheat,37,2,10,MOP
37,89,23,Sandy,Maize,24,17,38,20-20
29,35,50,Sandy,Cotton,7,3,2,Urea
22,46,35,Red,Ground Nuts,17,39,37,20-20
26,79,70,Red,Rice,17,48,0,DAP
35,66,29,Sandy,Wheat,47,41,39,28-28
35,47,57,Loamy,Cotton,6,31,24,Urea
39,55,67,Black,Rice,16,31,31,20-20
36,78,29,Sandy,Wheat,2,18,45,Urea
21,83,64,Sandy,Cotton,21,28,35,20-20
20,45,28,Sandy,Wheat,14,32,3,DAP
35,37,58,Red,Cotton,30,1,22,MOP
31,53,55,Loamy,Ground Nuts,35,10,15,20-20
24,42,70,Sandy,Sugarcane,25,46,10,20-20
24,58,77,Red,Sugarcane,47,32,21,28-28
28,61,55,Sandy,Maize,13,40,38,20-20
28,53,38,Sandy,Rice,16,39,32,20-20
22,45,79,Loamy,Wheat,8,0,40,Urea
38,40,38,Red,Wheat,6,41,37,Urea
35,61,31,Black,Cotton,45,16,12,20-20
35,35,32,Loamy,Rice,26,49,20,20-20
22,88,44,Black,Wheat,27,15,11,20-20
39,64,55,Red,Rice,11,1,25,MOP
20,62,44,Red,Rice,16,48,48,20-20
39,47,47,Black,Sugarcane,8,3,0,Urea
30,66,61,Red,Wheat,43,31,40,28-28
36,42,72,Loamy,Wheat,43,6,21,MOP
27,39,58,Sandy,Maize,7,28,26,Urea
23,66,49,Black,Rice,26,8,31,MOP
25,55,24,Sandy,Cotton,41,34,7,DAP
27,75,36,Black,Sugarcane,11,4,33,MOP
39,46,37,Sandy,Maize,36,49,17,20-20
22,30,62,Sandy,Sugarcane,19,20,3,DAP
35,54,66,Loamy,Cotton,0,16,0,Urea
22,63,40,Sandy,Maize,8,38,43,Urea
37,68,41,Black,Sugarcane,46,13,15,20-20
33,39,58,Sandy,Cotton,23,31,29,20-20
37,49,69,Red,Ground Nuts,33,14,22,20-20
21,36,77,Sandy,Maize,35,20,30,20-20
22,85,76,Sandy,Cotton,3,13,27,Urea
35,45,25,Red,Maize,28,40,49,20-20
28,66,69,Red,Wheat,22,15,36,20-20
23,58,35,Black,Wheat,34,0,15,MOP
20,89,21,Red,Sugarcane,15,39,40,20-20
23,41,70,Red,Rice,7,17,8,Urea
20,46,20,Black,Ground Nuts,26,33,1,DAP
33,77,76,Black,Rice,38,25,45,28-28
35,49,49,Sandy,Cotton,11,35,42,20-20
39,55,77,Loamy,Maize,43,20,1,DAP
27,77,62,Black,Wheat,3,0,31,Urea
26,48,71,Red,Rice,46,26,15,20-20
22,87,56,Sandy,Wheat,24,10,12,20-20
36,76,67,Red,Ground Nuts,5,37,48,Urea
20,41,42,Black,Cotton,2,13,26,Urea
35,50,20,Loamy,Ground Nuts,38,27,30,28-28
31,71,38,Sandy,Ground Nuts,23,26,32,20-20
38,87,65,Black,Cotton,20,21,20,20-20
33,83,22,Black,Maize,5,20,18,Urea
25,63,21,Red,Ground Nuts,32,23,47,20-20
25,36,75,Loamy,Rice,7,18,12,Urea
32,74,56,Black,Cotton,32,23,18,20-20
38,64,36,Red,Cotton,47,25,34,28-28
27,44,47,Sandy,Wheat,2,24,34,Urea
21,30,37,Red,Sugarcane,1,44,32,Urea
20,55,52,Sandy,Ground Nuts,37,43,2,DAP
34,64,34,Red,Rice,39,28,47,28-28
20,54,41,Loamy,Maize,38,9,20,MOP
24,71,60,Red,Ground Nuts,38,10,39,28-28
35,88,46,Loamy,Maize,23,23,22,20-20
38,88,74,Loamy,Wheat,20,23,47,20-20
23,44,56,Sandy,Ground Nuts,17,11,44,20-20
22,51,51,Red,Maize,34,6,44,MOP
36,88,79,Red,Ground Nuts,10,39,10,20-20
36,35,64,Red,Cotton,10,16,3,DAP
31,81,38,Loamy,Ground Nuts,2,34,3,Urea
33,44,47,Black,Rice,22,5,14,MOP
25,53,47,Red,Ground Nuts,0,11,27,Urea
22,50,75,Red,Maize,22,14,35,20-20
28,36,29,Black,Rice,21,31,7,DAP
24,86,39,Sandy,Maize,41,22,23,28-28
36,58,44,Red,Sugarcane,29,6,33,MOP
33,61,40,Black,Sugarcane,1,37,14,Urea
22,61,33,Red,Rice,16,30,22,20-20
20,82,41,Loamy,Sugarcane,40,28,26,28-28
39,88,72,Black,Sugarcane,49,43,13,20-20
20,34,45,Loamy,Cotton,19,27,1,DAP
22,33,63,Black,Maize,8,11,34,Urea
37,51,30,Sandy,Sugarcane,10,26,42,20-20
29,47,74,Loamy,Rice,16,3,6,DAP
22,64,26,Red,Cotton,13,20,15,20-20
27,46,36,Black,Sugarcane,17,8,21,MOP
33,79,37,Red,Ground Nuts,17,48,27,20-20
37,79,26,Sandy,Rice,43,33,31,28-28
34,85,75,Black,Maize,49,36,6,DAP
21,53,39,Sandy,Ground Nuts,7,20,21,Urea
29,31,57,Black,Sugarcane,28,22,42,20-20
21,42,30,Loamy,Rice,7,23,1,Urea
36,83,63,Red,Ground Nuts,25,9,7,DAP
27,44,77,Loamy,Rice,27,37,6,DAP
20,34,35,Loamy,Wheat,7,5,37,Urea
28,32,70,Loamy,Ground Nuts,19,20,47,20-20
30,66,74,Loamy,Rice,46,36,20,20-20
35,66,46,Black,Ground Nuts,7,28,42,Urea
26,66,70,Red,Wheat,13,39,21,20-20
29,32,30,Black,Maize,12,20,34,20-20
22,64,35,Black,Maize,39,21,17,20-20
37,81,42,Black,Cotton,16,34,8,DAP
32,52,79,Loamy,Ground Nuts,25,45,48,20-20
26,89,78,Sandy,Wheat,5,4,1,Urea
23,57,31,Loamy,Rice,16,14,41,20-20
32,89,78,Black,Cotton,3,40,41,Urea
39,59,59,Loamy,Ground Nuts,24,46,16,20-20
20,47,22,Red,Cotton,6,18,39,Urea
27,87,21,Red,Ground Nuts,16,15,19,20-20
33,81,79,Loamy,Maize,21,39,5,DAP
35,65,57,Loamy,Rice,27,46,10,20-20
33,62,67,Sandy,Wheat,49,42,4,DAP
31,55,71,Loamy,Maize,5,22,9,Urea
38,77,43,Loamy,Cotton,29,3,22,MOP
34,69,48,Sandy,Sugarcane,9,20,32,Urea
21,46,66,Loamy,Cotton,49,23,39,28-28
21,69,65,Loamy,Sugarcane,38,41,35,28-28
38,36,53,Loamy,Ground Nuts,13,25,38,20-20
36,86,39,Loamy,Maize,45,41,46,28-28
39,37,37,Loamy,Ground Nuts,41,1,33,MOP
29,82,33,Black,Wheat,21,39,16,20-20
25,85,37,Loamy,Rice,40,7,25,MOP
34,60,21,Sandy,Sugarcane,25,8,47,MOP
30,88,20,Loamy,Rice,9,1,26,Urea
24,87,39,Black,Ground Nuts,1,13,45,Urea
20,41,53,Sandy,Maize,2,19,2,Urea
27,77,60,Sandy,Maize,47,1,18,MOP
31,60,60,Loamy,Ground Nuts,41,3,7,DAP
31,73,67,Red,Ground Nuts,10,34,16,20-20
24,48,30,Black,Maize,9,13,49,Urea
26,39,46,Red,Wheat,11,20,0,DAP
23,68,42,Loamy,Sugarcane,13,47,6,DAP
25,41,57,Black,Rice,29,14,35,20-20
32,49,63,Red,Cotton,40,38,2,DAP
39,66,22,Black,Ground Nuts,12,49,18,20-20
34,77,31,Loamy,Ground Nuts,29,19,41,20-20
22,70,49,Black,Maize,37,5,26,MOP
27,36,50,Loamy,Rice,10,27,2,DAP
39,81,42,Red,Rice,0,47,33,Urea
35,83,20,Black,Wheat,26,42,4,DAP
32,87,60,Sandy,Sugarcane,46,1,48,MOP
37,43,39,Loamy,Wheat,38,27,36,28-28
29,40,73,Black,Wheat,42,33,45,28-28
38,36,25,Sandy,Rice,48,13,15,20-20
36,58,30,Sandy,Sugarcane,36,8,13,MOP
38,39,54,Sandy,Sugarcane,8,22,29,Urea
24,58,23,Sandy,Sugarcane,47,43,31,28-28
28,38,48,Loamy,Maize,42,34,44,28-28
31,65,78,Black,Sugarcane,25,21,11,20-20
20,77,29,Sandy,Rice,24,4,26,MOP
20,39,70,Black,Maize,16,40,25,20-20
34,48,48,Black,Cotton,5,28,47,Urea
21,85,57,Red,Ground Nuts,14,34,28,20-20
35,60,20,Black,Wheat,2,49,22,Urea
27,46,59,Loamy,Sugarcane,30,33,48,20-20
32,38,27,Loamy,Cotton,27,3,21,MOP
20,74,76,Sandy,Sugarcane,8,44,19,Urea
35,62,57,Black,Wheat,43,48,37,28-28
26,63,36,Loamy,Rice,17,8,45,MOP
24,74,38,Loamy,Rice,47,13,15,20-20
22,53,52,Loamy,Wheat,39,44,30,28-28
31,38,34,Sandy,Cotton,31,4,2,DAP
35,36,64,Loamy,Maize,18,49,20,20-20
38,45,50,Black,Ground Nuts,4,46,38,Urea
24,48,40,Loamy,Ground Nuts,43,26,4,DAP
33,68,22,Loamy,Ground Nuts,5,10,19,Urea
24,35,21,Sandy,Maize,11,29,22,20-20
34,79,54,Black,Sugarcane,46,36,31,28-28
36,80,60,Loamy,Wheat,41,38,41,28-28
33,40,78,Black,Wheat,16,33,8,DAP
39,41,35,Black,Maize,38,23,2,DAP
24,87,75,Loamy,Cotton,6,15,26,Urea
31,71,64,Sandy,Ground Nuts,10,29,26,20-20
35,42,70,Black,Wheat,33,23,9,DAP
35,41,78,Red,Rice,1,2,15,Urea
26,50,69,Loamy,Rice,13,28,23,20-20
23,39,40,Black,Wheat,17,41,22,20-20
20,49,31,Black,Ground Nuts,47,11,8,DAP
24,79,47,Black,Ground Nuts,42,26,1,DAP
29,65,31,Loamy,Ground Nuts,8,28,5,Urea
24,57,52,Red,Cotton,38,1,36,MOP
23,53,39,Black,Rice,3,28,34,Urea
21,34,59,Black,Cotton,47,39,6,DAP
39,66,68,Sandy,Maize,13,8,14,MOP
29,89,40,Loamy,Sugarcane,10,43,20,20-20
38,41,79,Loamy,Ground Nuts,29,27,37,20-20
20,87,71,Black,Maize,39,36,35,28-28
24,64,73,Sandy,Sugarcane,42,22,22,28-28
32,69,58,Black,Rice,26,12,28,20-20
23,83,60,Black,Sugarcane,28,4,12,MOP
35,31,68,Loamy,Sugarcane,31,31,4,DAP
35,79,78,Sandy,Wheat,48,27,46,28-28
21,70,61,Black,Sugarcane,29,14,38,20-20
36,74,55,Loamy,Wheat,25,23,38,20-20
39,68,41,Black,Sugarcane,29,31,41,20-20
31,71,45,Black,Wheat,9,20,44,Urea
37,38,26,Sandy,Rice,11,4,42,MOP
22,51,26,Sandy,Rice,32,36,0,DAP
20,76,27,Sandy,Sugarcane,33,35,19,20-20
20,34,45,Black,Cotton,17,27,42,20-20
38,41,43,Red,Rice,38,31,0,DAP
30,30,43,Sandy,Maize,15,22,34,20-20
24,73,59,Red,Maize,44,15,39,28-28
31,51,67,Red,Wheat,3,49,44,Urea
22,67,31,Red,Cotton,9,9,6,Urea
20,80,66,Loamy,Ground Nuts,27,28,34,20-20
20,48,27,Black,Wheat,40,26,33,28-28
27,45,73,Sandy,Sugarcane,17,34,49,20-20
29,60,28,Black,Rice,8,41,4,Urea
30,80,22,Black,Cotton,21,44,28,20-20
31,32,73,Loamy,Wheat,9,23,49,Urea
32,52,40,Loamy,Wheat,39,22,47,28-28
31,71,50,Loamy,Maize,22,2,26,MOP
33,88,67,Black,Sugarcane,42,35,6,DAP
21,47,66,Red,Wheat,12,44,0,DAP
38,55,43,Black,Maize,23,13,8,DAP
37,42,23,Loamy,Cotton,12,3,46,MOP
22,87,39,Black,Wheat,47,43,0,DAP
36,47,35,Loamy,Ground Nuts,44,47,26,28-28
27,32,29,Loamy,Ground Nuts,24,41,16,20-20
29,87,62,Sandy,Maize,43,31,31,28-28
21,89,45,Red,Ground Nuts,46,19,40,28-28
38,52,48,Loamy,Sugarcane,28,16,29,20-20
28,32,24,Sandy,Rice,15,28,14,20-20
26,84,30,Red,Ground Nuts,39,38,41,28-28
23,54,48,Loamy,Cotton,5,31,27,Urea
37,56,64,Red,Wheat,7,3,2,Urea
32,87,34,Red,Maize,33,23,27,20-20
30,73,25,Black,Wheat,17,43,4,DAP
23,56,67,Sandy,Rice,42,41,1,DAP
23,81,34,Red,Wheat,31,1,37,MOP
29,68,62,Black,Wheat,48,13,15,20-20
24,54,39,Red,Maize,9,39,43,Urea
28,53,53,Black,Rice,33,41,16,20-20
22,37,79,Loamy,Cotton,22,37,11,20-20
36,38,79,Loamy,Maize,18,33,25,20-20
22,75,21,Black,Rice,19,45,48,20-20
35,66,63,Loamy,Rice,33,42,6,DAP
23,59,35,Loamy,Wheat,37,1,23,MOP
37,82,38,Loamy,Sugarcane,16,35,15,20-20
36,48,53,Red,Sugarcane,43,5,17,MOP
26,82,68,Black,Cotton,4,35,7,Urea
24,45,33,Sandy,Wheat,1,21,26,Urea
31,53,43,Sandy,Sugarcane,40,4,25,MOP
36,73,47,Black,Maize,33,37,30,20-20
32,50,67,Red,Cotton,19,40,17,20-20
22,65,51,Loamy,Wheat,45,21,1,DAP
28,69,56,Loamy,Ground Nuts,46,47,40,28-28
36,68,29,Red,Maize,1,10,22,Urea
36,76,68,Sandy,Sugarcane,27,42,47,20-20
39,35,64,Black,Sugarcane,17,30,48,20-20
35,34,67,Black,Sugarcane,43,41,41,28-28
32,43,28,Red,Sugarcane,38,28,21,28-28
38,82,43,Loamy,Rice,47,32,32,28-28
36,74,55,Loamy,Ground Nuts,34,21,17,20-20
23,71,75,Loamy,Cotton,14,48,14,20-20
31,79,48,Black,Cotton,46,26,40,28-28
28,33,79,Sandy,Sugarcane,38,7,2,DAP
38,37,48,Black,Cotton,39,47,47,28-28
31,53,77,Red,Ground Nuts,38,5,22,MOP
28,40,67,Black,Maize,2,45,46,Urea
26,46,42,Red,Maize,18,24,1,DAP
33,79,46,Black,Cotton,22,33,41,20-20
39,50,50,Sandy,Sugarcane,18,8,3,DAP
38,86,62,Red,Wheat,17,35,25,20-20
34,55,26,Loamy,Ground Nuts,29,30,18,20-20
35,72,68,Loamy,Sugarcane,38,18,48,28-28
24,77,73,Black,Rice,18,48,9,DAP
22,73,64,Black,Wheat,4,0,21,Urea
31,74,23,Sandy,Ground Nuts,12,23,5,DAP
39,56,33,Sandy,Rice,33,33,0,DAP
23,45,61,Loamy,Cotton,23,16,42,20-20
35,84,61,Black,Rice,17,33,15,20-20
26,55,29,Red,Cotton,3,34,6,Urea
32,82,78,Sandy,Rice,35,35,23,20-20
29,62,63,Red,Wheat,7,12,34,Urea
26,60,53,Red,Rice,42,24,13,20-20
33,77,45,Sandy,Sugarcane,0,11,3,Urea
24,76,42,Black,Cotton,40,20,40,28-28
22,35,28,Red,Maize,37,36,14,20-20
30,73,56,Black,Rice,35,45,43,20-20
30,37,27,Red,Cotton,37,37,47,28-28
37,36,72,Black,Maize,12,0,22,MOP
34,63,33,Black,Cotton,21,47,18,20-20
31,73,26,Black,Cotton,28,5,13,MOP
28,82,26,Black,Maize,8,44,26,Urea
29,43,28,Sandy,Maize,26,44,35,20-20
31,45,22,Red,Wheat,45,10,37,28-28
36,72,33,Black,Ground Nuts,43,15,21,28-28
25,81,36,Loamy,Rice,3,21,10,Urea
26,38,69,Red,Rice,39,45,3,DAP
33,39,63,Red,Cotton,16,10,31,20-20
32,46,41,Black,Sugarcane,36,36,39,28-28
27,41,65,Red,Sugarcane,2,25,40,Urea
29,35,45,Loamy,Ground Nuts,3,25,23,Urea
28,48,77,Loamy,Cotton,39,41,33,28-28
37,72,47,Loamy,Wheat,15,20,2,DAP
21,70,64,Red,Maize,10,25,37,20-20
24,82,33,Red,Cotton,26,14,1,DAP
24,58,28,Black,Rice,25,38,22,20-20
25,35,70,Red,Sugarcane,30,34,39,20-20
38,88,45,Red,Sugarcane,33,10,19,20-20
27,54,21,Black,Sugarcane,7,8,7,Urea
35,86,30,Loamy,Wheat,38,41,34,28-28
32,53,36,Black,Rice,0,22,48,Urea
20,54,53,Sandy,Wheat,1,3,42,Urea
39,45,38,Red,Maize,26,29,2,DAP
36,81,58,Red,Cotton,44,27,31,28-28
26,45,37,Sandy,Cotton,42,24,30,28-28
32,35,32,Sandy,Sugarcane,2,21,43,Urea
23,66,24,Sandy,Sugarcane,33,24,45,20-20
23,50,69,Black,Maize,15,25,30,20-20
25,33,42,Loamy,Wheat,0,49,0,Urea
38,63,77,Black,Ground Nuts,6,28,11,Urea
31,57,75,Sandy,Ground Nuts,34,45,17,20-20
26,67,43,Black,Ground Nuts,21,40,23,20-20
29,70,48,Red,Rice,47,31,35,28-28
38,57,67,Black,Maize,31,25,28,20-20
26,46,66,Sandy,Cotton,25,27,24,20-20
22,43,27,Red,Cotton,5,19,22,Urea
32,36,45,Loamy,Wheat,45,47,2,DAP
32,51,34,Black,Maize,10,1,29,MOP
37,80,76,Black,Rice,30,22,16,20-20
39,30,20,Sandy,Maize,20,38,44,20-20
27,58,47,Loamy,Maize,21,4,48,MOP
28,81,68,Red,Wheat,0,20,29,Urea
26,60,66,Sandy,Rice,20,21,48,20-20
20,59,65,Sandy,Ground Nuts,44,48,18,20-20
